"Notes"	"Year"	"Year Code"	"State"	"State Code"	Count	Percent of Total	Rate	Population	Completion of Therapy Within One Year	Eligible for Completion of Therapy Within One Year	Percent of Completion of Therapy Within One Year Among Those Eligible	Culture-Confirmed Cases	Percentage Tested for Drug Susceptibility to Isoniazid	Percentage Tested for Drug Susceptibility to Isoniazid & Rifampin
	"2005"	"2005"	"North Dakota"	"38"	6	0.00%	0.93	646089	2	5	40.00%	4	100.00%	100.00%
	"2005"	"2005"	"Ohio"	"39"	260	0.08%	2.27	11463320	196	220	89.09%	188	100.00%	100.00%
	"2005"	"2005"	"Oklahoma"	"40"	144	0.04%	4.06	3548597	100	118	84.75%	88	100.00%	100.00%
	"2005"	"2005"	"Oregon"	"41"	103	0.03%	2.85	3613202	88	94	93.62%	86	100.00%	100.00%
	"2005"	"2005"	"Pennsylvania"	"42"	320	0.10%	2.57	12449990	183	257	71.21%	268	88.81%	88.81%
	"2005"	"2005"	"Rhode Island"	"44"	47	0.01%	4.40	1067916	34	38	89.47%	19	100.00%	100.00%
	"2005"	"2005"	"South Carolina"	"45"	261	0.08%	6.11	4270150	199	229	86.90%	183	98.91%	98.91%
	"2005"	"2005"	"South Dakota"	"46"	16	0.00%	2.06	775493	6	11	54.55%	14	100.00%	100.00%
	"2005"	"2005"	"Tennessee"	"47"	299	0.09%	4.99	5991057	237	264	89.77%	239	94.56%	94.56%
	"2005"	"2005"	"Texas"	"48"	1525	0.46%	6.70	22778123	1082	1305	82.91%	1168	98.80%	98.89%
	"2005"	"2005"	"Utah"	"49"	29	0.01%	1.18	2457719	25	26	96.15%	21	100.00%	100.00%
	"2005"	"2005"	"Vermont"	"50"	8	0.00%	1.29	621215	7	7	100.00%	6	100.00%	100.00%
	"2005"	"2005"	"Virginia"	"51"	355	0.11%	4.69	7577105	261	313	83.39%	274	92.34%	92.34%
	"2005"	"2005"	"Washington"	"53"	255	0.08%	4.08	6257305	184	220	83.64%	208	98.08%	98.08%
	"2005"	"2005"	"West Virginia"	"54"	28	0.01%	1.54	1820492	14	24	58.33%	28	96.43%	96.43%
	"2005"	"2005"	"Wisconsin"	"55"	67	0.02%	1.21	5546166	48	58	82.76%	66	100.00%	100.00%
"Total"	"2005"	"2005"			14061	4.23%	4.76	295516599	10038	11952	83.99%	10955	97.19%	97.31%
	"2004"	"2004"	"Alabama"	"01"	211	0.06%	4.66	4530729	157	175	89.71%	173	98.84%	98.84%
	"2004"	"2004"	"Alaska"	"02"	43	0.01%	6.52	659286	32	39	82.05%	36	100.00%	100.00%
	"2004"	"2004"	"Arizona"	"04"	272	0.08%	4.81	5652404	181	241	75.10%	208	98.56%	98.56%
	"2004"	"2004"	"Arkansas"	"05"	134	0.04%	4.87	2749686	101	114	88.60%	91	100.00%	100.00%
	"2004"	"2004"	"California"	"06"	2991	0.90%	8.41	35574576	2109	2558	82.45%	2321	98.66%	98.71%
	"2004"	"2004"	"Colorado"	"08"	128	0.04%	2.80	4575013	109	113	96.46%	76	100.00%	100.00%
	"2004"	"2004"	"Connecticut"	"09"	101	0.03%	2.89	3496094	64	80	80.00%	92	97.83%	97.83%
	"2004"	"2004"	"Delaware"	"10"	33	0.01%	3.97	830803	26	28	92.86%	28	100.00%	100.00%
	"2004"	"2004"	"District of Columbia"	"11"	81	0.02%	14.27	567754	62	66	93.94%	66	96.97%	96.97%
	"2004"	"2004"	"Florida"	"12"	1074	0.32%	6.17	17415318	790	911	86.72%	859	96.86%	96.86%
	"2004"	"2004"	"Georgia"	"13"	537	0.16%	6.12	8769252	374	441	84.81%	436	98.85%	99.31%
	"2004"	"2004"	"Hawaii"	"15"	116	0.03%	9.11	1273569	85	106	80.19%	77	96.10%	96.10%
	"2004"	"2004"	"Idaho"	"16"	11	0.00%	0.79	1391802	8	10	80.00%	9	100.00%	100.00%
	"2004"	"2004"	"Illinois"	"17"	567	0.17%	4.50	12589773	395	488	80.94%	430	95.81%	96.28%
	"2004"	"2004"	"Indiana"	"18"	128	0.04%	2.05	6233007	101	108	93.52%	109	100.00%	100.00%
	"2004"	"2004"	"Iowa"	"19"	47	0.01%	1.59	2953635	34	43	79.07%	35	100.00%	100.00%
	"2004"	"2004"	"Kansas"	"20"	62	0.02%	2.27	2734373	47	56	83.93%	42	97.62%	100.00%
	"2004"	"2004"	"Kentucky"	"21"	127	0.04%	3.06	4146101	95	110	86.36%	104	97.12%	97.12%
	"2004"	"2004"	"Louisiana"	"22"	248	0.07%	5.45	4552238	163	223	73.09%	181	91.71%	91.71%
	"2004"	"2004"	"Maine"	"23"	20	0.01%	1.52	1313688	10	15	66.67%	13	92.31%	92.31%
	"2004"	"2004"	"Maryland"	"24"	313	0.09%	5.64	5546935	244	263	92.78%	225	100.00%	100.00%
	"2004"	"2004"	"Massachusetts"	"25"	283	0.09%	4.41	6412281	193	244	79.10%	216	98.61%	98.61%
	"2004"	"2004"	"Michigan"	"26"	272	0.08%	2.71	10055315	205	233	87.98%	216	99.07%	99.07%
	"2004"	"2004"	"Minnesota"	"27"	199	0.06%	3.91	5087713	166	181	91.71%	139	100.00%	100.00%
	"2004"	"2004"	"Mississippi"	"28"	119	0.04%	4.12	2889010	85	99	85.86%	98	95.92%	95.92%
	"2004"	"2004"	"Missouri"	"29"	127	0.04%	2.21	5747741	86	105	81.90%	103	98.06%	98.06%
	"2004"	"2004"	"Montana"	"30"	15	0.00%	1.61	930009	13	14	92.86%	12	100.00%	100.00%
	"2004"	"2004"	"Nebraska"	"31"	39	0.01%	2.23	1749370	32	37	86.49%	30	100.00%	100.00%
	"2004"	"2004"	"Nevada"	"32"	95	0.03%	4.05	2346222	77	85	90.59%	76	97.37%	97.37%
	"2004"	"2004"	"New Hampshire"	"33"	24	0.01%	1.86	1290121	20	20	100.00%	18	100.00%	100.00%
	"2004"	"2004"	"New Jersey"	"34"	482	0.15%	5.58	8634561	348	415	83.86%	386	98.96%	98.96%
	"2004"	"2004"	"New Mexico"	"35"	42	0.01%	2.21	1903808	28	33	84.85%	38	97.37%	97.37%
	"2004"	"2004"	"New York"	"36"	1359	0.41%	7.09	19171567	967	1138	84.97%	1046	97.99%	98.09%
	"2004"	"2004"	"North Carolina"	"37"	381	0.11%	4.45	8553152	297	317	93.69%	289	98.96%	99.31%
	"2004"	"2004"	"North Dakota"	"38"	4	0.00%	0.62	644705	4	4	100.00%	3	100.00%	100.00%
	"2004"	"2004"	"Ohio"	"39"	219	0.07%	1.91	11452251	149	171	87.13%	181	99.45%	99.45%
	"2004"	"2004"	"Oklahoma"	"40"	178	0.05%	5.05	3525233	130	161	80.75%	110	97.27%	97.27%
	"2004"	"2004"	"Oregon"	"41"	106	0.03%	2.97	3569463	85	94	90.43%	93	100.00%	100.00%
	"2004"	"2004"	"Pennsylvania"	"42"	328	0.10%	2.64	12410722	180	270	66.67%	273	94.51%	94.87%
	"2004"	"2004"	"Rhode Island"	"44"	51	0.02%	4.75	1074579	40	43	93.02%	32	100.00%	100.00%
	"2004"	"2004"	"South Carolina"	"45"	233	0.07%	5.53	4210921	172	206	83.50%	182	98.35%	98.35%
	"2004"	"2004"	"South Dakota"	"46"	11	0.00%	1.43	770396	4	6	66.67%	9	88.89%	88.89%
	"2004"	"2004"	"Tennessee"	"47"	278	0.08%	4.70	5910809	202	234	86.32%	216	99.07%	99.07%
	"2004"	"2004"	"Texas"	"48"	1670	0.50%	7.46	22394023	1171	1407	83.23%	1345	97.55%	97.55%
	"2004"	"2004"	"Utah"	"49"	36	0.01%	1.50	2401580	28	28	100.00%	31	100.00%	100.00%
	"2004"	"2004"	"Vermont"	"50"	6	0.00%	0.97	619920	4	5	80.00%	4	100.00%	100.00%
	"2004"	"2004"	"Virginia"	"51"	329	0.10%	4.40	7475575	255	288	88.54%	265	93.96%	93.96%
	"2004"	"2004"	"Washington"	"53"	245	0.07%	3.97	6178645	197	220	89.55%	204	99.51%	99.51%
	"2004"	"2004"	"West Virginia"	"54"	24	0.01%	1.32	1816438	17	21	80.95%	22	100.00%	100.00%
	"2004"	"2004"	"Wisconsin"	"55"	95	0.03%	1.72	5514026	70	87	80.46%	76	98.68%	98.68%
	"2004"	"2004"	"Wyoming"	"56"	5	0.00%	0.98	509106	4	4	100.00%	3	100.00%	100.00%
"Total"	"2004"	"2004"			14499	4.37%	4.95	292805298	10416	12358	84.29%	11327	97.96%	98.04%
	"2003"	"2003"	"Alabama"	"01"	258	0.08%	5.73	4503491	199	230	86.52%	205	98.05%	98.05%
	"2003"	"2003"	"Alaska"	"02"	57	0.02%	8.79	648414	47	51	92.16%	48	100.00%	100.00%
	"2003"	"2003"	"Arizona"	"04"	295	0.09%	5.35	5510364	206	258	79.84%	228	98.68%	98.68%
	"2003"	"2003"	"Arkansas"	"05"	128	0.04%	4.70	2724816	99	112	88.39%	99	94.95%	94.95%
	"2003"	"2003"	"California"	"06"	3218	0.97%	9.13	35253159	2261	2754	82.10%	2487	98.19%	98.23%
	"2003"	"2003"	"Colorado"	"08"	111	0.03%	2.45	4528732	89	95	93.68%	72	100.00%	100.00%
	"2003"	"2003"	"Connecticut"	"09"	111	0.03%	3.19	3484336	72	96	75.00%	104	94.23%	94.23%
	"2003"	"2003"	"Delaware"	"10"	32	0.01%	3.91	818003	24	28	85.71%	28	100.00%	100.00%
	"2003"	"2003"	"District of Columbia"	"11"	79	0.02%	13.90	568502	62	68	91.18%	71	98.59%	98.59%
	"2003"	"2003"	"Florida"	"12"	1041	0.31%	6.12	17004085	775	897	86.40%	850	97.41%	97.41%
	"2003"	"2003"	"Georgia"	"13"	532	0.16%	6.17	8622793	374	468	79.91%	398	97.24%	97.49%
	"2003"	"2003"	"Hawaii"	"15"	116	0.03%	9.27	1251154	78	97	80.41%	80	93.75%	95.00%
	"2003"	"2003"	"Idaho"	"16"	13	0.00%	0.95	1363380	11	13	84.62%	11	90.91%	90.91%
	"2003"	"2003"	"Illinois"	"17"	632	0.19%	5.03	12556006	448	551	81.31%	486	96.71%	96.71%
	"2003"	"2003"	"Indiana"	"18"	143	0.04%	2.31	6196638	111	116	95.69%	119	99.16%	99.16%
	"2003"	"2003"	"Iowa"	"19"	40	0.01%	1.36	2941999	33	35	94.29%	35	100.00%	100.00%
	"2003"	"2003"	"Kansas"	"20"	75	0.02%	2.75	2723004	50	64	78.12%	54	100.00%	100.00%
	"2003"	"2003"	"Kentucky"	"21"	138	0.04%	3.35	4117170	99	115	86.09%	119	92.44%	92.44%
	"2003"	"2003"	"Louisiana"	"22"	256	0.08%	5.66	4521042	179	220	81.36%	206	96.12%	96.12%
	"2003"	"2003"	"Maine"	"23"	24	0.01%	1.84	1306513	16	23	69.57%	20	95.00%	95.00%
	"2003"	"2003"	"Maryland"	"24"	269	0.08%	4.89	5496269	202	226	89.38%	209	99.52%	99.52%
	"2003"	"2003"	"Massachusetts"	"25"	261	0.08%	4.06	6422565	191	233	81.97%	196	97.96%	97.96%
	"2003"	"2003"	"Michigan"	"26"	243	0.07%	2.42	10041152	168	195	86.15%	204	99.02%	99.02%
	"2003"	"2003"	"Minnesota"	"27"	214	0.06%	4.23	5053572	173	192	90.10%	172	100.00%	100.00%
	"2003"	"2003"	"Mississippi"	"28"	129	0.04%	4.50	2868312	77	104	74.04%	94	94.68%	96.81%
	"2003"	"2003"	"Missouri"	"29"	130	0.04%	2.28	5709403	73	99	73.74%	109	98.17%	98.17%
	"2003"	"2003"	"Montana"	"30"	7	0.00%	0.76	919630	5	5	100.00%	7	100.00%	100.00%
	"2003"	"2003"	"Nebraska"	"31"	28	0.01%	1.61	1738643	17	25	68.00%	22	95.45%	95.45%
	"2003"	"2003"	"Nevada"	"32"	106	0.03%	4.71	2248850	86	93	92.47%	88	100.00%	100.00%
	"2003"	"2003"	"New Hampshire"	"33"	15	0.00%	1.17	1279840	10	11	90.91%	12	100.00%	100.00%
	"2003"	"2003"	"New Jersey"	"34"	495	0.15%	5.75	8601402	357	434	82.26%	400	99.00%	99.00%
	"2003"	"2003"	"New Mexico"	"35"	49	0.01%	2.61	1877574	32	35	91.43%	44	100.00%	100.00%
	"2003"	"2003"	"New York"	"36"	1471	0.44%	7.67	19175939	1050	1212	86.63%	1126	99.11%	99.29%
	"2003"	"2003"	"North Carolina"	"37"	374	0.11%	4.44	8422501	284	315	90.16%	294	98.98%	98.98%
	"2003"	"2003"	"North Dakota"	"38"	6	0.00%	0.94	638817	2	4	50.00%	4	100.00%	100.00%
	"2003"	"2003"	"Ohio"	"39"	229	0.07%	2.00	11434788	165	181	91.16%	172	98.26%	98.26%
	"2003"	"2003"	"Oklahoma"	"40"	163	0.05%	4.65	3504892	94	137	68.61%	126	88.89%	88.89%
	"2003"	"2003"	"Oregon"	"41"	106	0.03%	2.99	3547376	80	95	84.21%	87	86.21%	86.21%
	"2003"	"2003"	"Pennsylvania"	"42"	336	0.10%	2.72	12374658	223	273	81.69%	271	95.57%	95.57%
	"2003"	"2003"	"Rhode Island"	"44"	46	0.01%	4.29	1071342	36	39	92.31%	30	70.00%	70.00%
	"2003"	"2003"	"South Carolina"	"45"	254	0.08%	6.12	4150297	194	222	87.39%	183	94.54%	94.54%
	"2003"	"2003"	"South Dakota"	"46"	20	0.01%	2.62	763729	10	14	71.43%	17	100.00%	100.00%
	"2003"	"2003"	"Tennessee"	"47"	286	0.09%	4.89	5847812	182	221	82.35%	226	83.63%	84.07%
	"2003"	"2003"	"Texas"	"48"	1579	0.48%	7.17	22030931	1070	1352	79.14%	1281	98.91%	99.06%
	"2003"	"2003"	"Utah"	"49"	39	0.01%	1.65	2360137	32	33	96.97%	29	82.76%	82.76%
	"2003"	"2003"	"Vermont"	"50"	8	0.00%	1.29	617858	8	8	100.00%	7	100.00%	100.00%
	"2003"	"2003"	"Virginia"	"51"	332	0.10%	4.51	7366977	259	295	87.80%	263	94.30%	94.30%
	"2003"	"2003"	"Washington"	"53"	250	0.08%	4.10	6104115	189	223	84.75%	215	98.60%	98.60%
	"2003"	"2003"	"West Virginia"	"54"	21	0.01%	1.16	1812295	11	16	68.75%	19	94.74%	94.74%
	"2003"	"2003"	"Wisconsin"	"55"	66	0.02%	1.20	5479203	52	58	89.66%	54	100.00%	100.00%
	"2003"	"2003"	"Wyoming"	"56"	4	0.00%	0.79	503453	3	3	100.00%	2	50.00%	50.00%
"Total"	"2003"	"2003"			14835	4.47%	5.11	290107933	10568	12644	83.58%	11683	97.38%	97.47%
	"2002"	"2002"	"Alabama"	"01"	233	0.07%	5.20	4480089	177	195	90.77%	194	96.91%	96.91%
	"2002"	"2002"	"Alaska"	"02"	49	0.01%	7.63	642337	38	41	92.68%	39	100.00%	100.00%
	"2002"	"2002"	"Arizona"	"04"	263	0.08%	4.87	5396255	176	215	81.86%	212	92.45%	92.45%
	"2002"	"2002"	"Arkansas"	"05"	136	0.04%	5.03	2705927	95	107	88.78%	92	95.65%	95.65%
	"2002"	"2002"	"California"	"06"	3172	0.96%	9.10	34871843	2264	2707	83.64%	2424	98.31%	98.35%
	"2002"	"2002"	"Colorado"	"08"	103	0.03%	2.29	4490406	77	90	85.56%	81	97.53%	97.53%
	"2002"	"2002"	"Connecticut"	"09"	105	0.03%	3.04	3458749	62	87	71.26%	94	96.81%	96.81%
	"2002"	"2002"	"Delaware"	"10"	25	0.01%	3.10	806169	20	22	90.91%	23	86.96%	86.96%
	"2002"	"2002"	"District of Columbia"	"11"	82	0.02%	14.31	573158	73	74	98.65%	75	96.00%	96.00%
	"2002"	"2002"	"Florida"	"12"	1084	0.33%	6.50	16689370	758	918	82.57%	909	95.05%	95.05%
	"2002"	"2002"	"Georgia"	"13"	535	0.16%	6.29	8508256	351	447	78.52%	428	97.20%	97.20%
	"2002"	"2002"	"Hawaii"	"15"	148	0.04%	11.94	1239613	95	137	69.34%	110	90.00%	90.00%
	"2002"	"2002"	"Idaho"	"16"	14	0.00%	1.04	1340372	7	12	58.33%	13	92.31%	92.31%
	"2002"	"2002"	"Illinois"	"17"	679	0.20%	5.42	12525556	437	562	77.76%	531	97.36%	98.31%
	"2002"	"2002"	"Indiana"	"18"	128	0.04%	2.08	6155967	97	102	95.10%	116	100.00%	100.00%
	"2002"	"2002"	"Iowa"	"19"	34	0.01%	1.16	2934234	27	32	84.38%	26	96.15%	96.15%
	"2002"	"2002"	"Kansas"	"20"	86	0.03%	3.17	2713535	60	71	84.51%	61	93.44%	93.44%
	"2002"	"2002"	"Kentucky"	"21"	146	0.04%	3.57	4089875	109	126	86.51%	126	96.83%	96.83%
	"2002"	"2002"	"Louisiana"	"22"	230	0.07%	5.11	4497267	165	200	82.50%	191	96.86%	96.86%
	"2002"	"2002"	"Maine"	"23"	23	0.01%	1.77	1295960	14	18	77.78%	18	94.44%	94.44%
	"2002"	"2002"	"Maryland"	"24"	306	0.09%	5.62	5440389	227	256	88.67%	226	99.56%	99.56%
	"2002"	"2002"	"Massachusetts"	"25"	271	0.08%	4.22	6417206	190	242	78.51%	211	97.63%	97.63%
	"2002"	"2002"	"Michigan"	"26"	315	0.09%	3.15	10015710	210	255	82.35%	256	98.44%	98.44%
	"2002"	"2002"	"Minnesota"	"27"	237	0.07%	4.72	5018935	181	209	86.60%	189	86.77%	86.77%
	"2002"	"2002"	"Mississippi"	"28"	134	0.04%	4.69	2858681	91	111	81.98%	103	96.12%	96.12%
	"2002"	"2002"	"Missouri"	"29"	136	0.04%	2.40	5674825	93	108	86.11%	108	94.44%	94.44%
	"2002"	"2002"	"Montana"	"30"	12	0.00%	1.32	911667	9	10	90.00%	9	100.00%	100.00%
	"2002"	"2002"	"Nebraska"	"31"	28	0.01%	1.62	1728292	17	23	73.91%	28	89.29%	89.29%
	"2002"	"2002"	"Nevada"	"32"	85	0.03%	3.91	2173791	69	71	97.18%	74	97.30%	97.30%
	"2002"	"2002"	"New Hampshire"	"33"	19	0.01%	1.50	1269089	15	17	88.24%	13	92.31%	92.31%
	"2002"	"2002"	"New Jersey"	"34"	530	0.16%	6.20	8552643	361	451	80.04%	418	99.52%	99.52%
	"2002"	"2002"	"New Mexico"	"35"	57	0.02%	3.07	1855309	40	45	88.89%	50	96.00%	96.00%
	"2002"	"2002"	"New York"	"36"	1418	0.43%	7.41	19137800	984	1171	84.03%	1087	99.36%	99.36%
	"2002"	"2002"	"North Carolina"	"37"	434	0.13%	5.21	8326201	326	355	91.83%	367	98.64%	98.64%
	"2002"	"2002"	"North Dakota"	"38"	6	0.00%	0.94	638168	6	6	100.00%	4	100.00%	100.00%
	"2002"	"2002"	"Ohio"	"39"	257	0.08%	2.25	11407889	165	201	82.09%	194	98.97%	98.97%
	"2002"	"2002"	"Oklahoma"	"40"	190	0.06%	5.45	3489080	145	168	86.31%	113	89.38%	89.38%
	"2002"	"2002"	"Oregon"	"41"	111	0.03%	3.16	3513424	88	97	90.72%	99	100.00%	100.00%
	"2002"	"2002"	"Pennsylvania"	"42"	353	0.11%	2.86	12331031	217	285	76.14%	302	94.37%	94.37%
	"2002"	"2002"	"Rhode Island"	"44"	49	0.01%	4.60	1065995	30	41	73.17%	32	96.88%	96.88%
	"2002"	"2002"	"South Carolina"	"45"	256	0.08%	6.23	4107795	175	217	80.65%	180	93.89%	93.89%
	"2002"	"2002"	"South Dakota"	"46"	13	0.00%	1.71	760020	7	7	100.00%	12	100.00%	100.00%
	"2002"	"2002"	"Tennessee"	"47"	308	0.09%	5.31	5795918	223	262	85.11%	246	91.06%	91.46%
	"2002"	"2002"	"Texas"	"48"	1538	0.46%	7.09	21690325	1037	1305	79.46%	1263	93.11%	93.19%
	"2002"	"2002"	"Utah"	"49"	31	0.01%	1.33	2324815	26	27	96.30%	24	95.83%	95.83%
	"2002"	"2002"	"Vermont"	"50"	8	0.00%	1.30	615442	7	8	87.50%	8	100.00%	100.00%
	"2002"	"2002"	"Virginia"	"51"	315	0.09%	4.32	7286873	243	280	86.79%	272	90.44%	90.81%
	"2002"	"2002"	"Washington"	"53"	252	0.08%	4.16	6052349	191	227	84.14%	224	94.64%	94.64%
	"2002"	"2002"	"West Virginia"	"54"	30	0.01%	1.66	1805414	17	27	62.96%	28	100.00%	100.00%
	"2002"	"2002"	"Wisconsin"	"55"	78	0.02%	1.43	5445162	53	64	82.81%	69	95.65%	95.65%
	"2002"	"2002"	"Wyoming"	"56"	3	0.00%	0.60	500017	3	3	100.00%	2	100.00%	100.00%
"Total"	"2002"	"2002"			15055	4.53%	5.23	287625193	10548	12712	82.98%	11974	96.34%	96.42%
	"2001"	"2001"	"Alabama"	"01"	264	0.08%	5.91	4467634	174	214	81.31%	223	96.86%	97.31%
	"2001"	"2001"	"Alaska"	"02"	54	0.02%	8.52	633714	43	49	87.76%	45	100.00%	100.00%
	"2001"	"2001"	"Arizona"	"04"	289	0.09%	5.48	5273477	198	239	82.85%	228	99.12%	99.12%
	"2001"	"2001"	"Arkansas"	"05"	162	0.05%	6.02	2691571	125	136	91.91%	114	97.37%	97.37%
	"2001"	"2001"	"California"	"06"	3329	1.00%	9.66	34479458	2339	2851	82.04%	2602	98.89%	98.92%
	"2001"	"2001"	"Colorado"	"08"	138	0.04%	3.12	4425687	113	123	91.87%	103	100.00%	100.00%
	"2001"	"2001"	"Connecticut"	"09"	121	0.04%	3.52	3432835	79	107	73.83%	111	97.30%	97.30%
	"2001"	"2001"	"Delaware"	"10"	33	0.01%	4.15	795699	26	28	92.86%	24	100.00%	100.00%
	"2001"	"2001"	"District of Columbia"	"11"	74	0.02%	12.88	574504	53	61	86.89%	61	93.44%	93.44%
	"2001"	"2001"	"Florida"	"12"	1138	0.34%	6.96	16356966	817	991	82.44%	945	96.19%	96.19%
	"2001"	"2001"	"Georgia"	"13"	577	0.17%	6.89	8377038	405	486	83.33%	453	94.04%	94.26%
	"2001"	"2001"	"Hawaii"	"15"	150	0.05%	12.24	1225948	103	137	75.18%	123	97.56%	98.37%
	"2001"	"2001"	"Idaho"	"16"	9	0.00%	0.68	1319962	5	8	62.50%	7	85.71%	85.71%
	"2001"	"2001"	"Illinois"	"17"	703	0.21%	5.63	12488445	480	614	78.18%	561	98.04%	98.40%
	"2001"	"2001"	"Indiana"	"18"	115	0.03%	1.88	6127760	88	94	93.62%	93	100.00%	100.00%
	"2001"	"2001"	"Iowa"	"19"	43	0.01%	1.47	2931997	28	35	80.00%	33	96.97%	96.97%
	"2001"	"2001"	"Kansas"	"20"	81	0.02%	3.00	2702162	50	69	72.46%	53	92.45%	92.45%
	"2001"	"2001"	"Kentucky"	"21"	152	0.05%	3.74	4068132	114	129	88.37%	133	96.99%	96.99%
	"2001"	"2001"	"Louisiana"	"22"	294	0.09%	6.57	4477875	191	257	74.32%	240	85.83%	85.83%
	"2001"	"2001"	"Maine"	"23"	20	0.01%	1.56	1285692	18	19	94.74%	10	90.00%	90.00%
	"2001"	"2001"	"Maryland"	"24"	262	0.08%	4.87	5374691	200	220	90.91%	219	99.09%	99.09%
	"2001"	"2001"	"Massachusetts"	"25"	270	0.08%	4.22	6397634	183	233	78.54%	220	98.18%	98.18%
	"2001"	"2001"	"Michigan"	"26"	329	0.10%	3.29	9991120	215	258	83.33%	248	98.79%	98.79%
	"2001"	"2001"	"Minnesota"	"27"	239	0.07%	4.80	4982796	185	215	86.05%	194	97.94%	97.94%
	"2001"	"2001"	"Mississippi"	"28"	154	0.05%	5.40	2852994	114	137	83.21%	114	98.25%	98.25%
	"2001"	"2001"	"Missouri"	"29"	156	0.05%	2.77	5641142	113	133	84.96%	126	98.41%	98.41%
	"2001"	"2001"	"Montana"	"30"	20	0.01%	2.21	906961	16	17	94.12%	16	100.00%	100.00%
	"2001"	"2001"	"Nebraska"	"31"	40	0.01%	2.33	1719836	26	31	83.87%	40	97.50%	97.50%
	"2001"	"2001"	"Nevada"	"32"	96	0.03%	4.57	2098399	71	85	83.53%	83	98.80%	98.80%
	"2001"	"2001"	"New Hampshire"	"33"	20	0.01%	1.59	1255517	16	17	94.12%	17	100.00%	100.00%
	"2001"	"2001"	"New Jersey"	"34"	530	0.16%	6.24	8492671	338	436	77.52%	442	97.51%	97.51%
	"2001"	"2001"	"New Mexico"	"35"	54	0.02%	2.95	1831690	38	44	86.36%	49	100.00%	100.00%
	"2001"	"2001"	"New York"	"36"	1645	0.50%	8.62	19082838	1165	1375	84.73%	1240	96.94%	96.94%
	"2001"	"2001"	"North Carolina"	"37"	397	0.12%	4.84	8210122	294	325	90.46%	331	99.09%	99.09%
	"2001"	"2001"	"North Dakota"	"38"	6	0.00%	0.94	639062	5	5	100.00%	5	100.00%	100.00%
	"2001"	"2001"	"Ohio"	"39"	306	0.09%	2.69	11387404	193	242	79.75%	242	97.93%	97.93%
	"2001"	"2001"	"Oklahoma"	"40"	193	0.06%	5.57	3467100	127	153	83.01%	149	93.96%	93.96%
	"2001"	"2001"	"Oregon"	"41"	123	0.04%	3.55	3467937	96	109	88.07%	103	100.00%	100.00%
	"2001"	"2001"	"Pennsylvania"	"42"	349	0.11%	2.84	12298970	211	267	79.03%	305	87.87%	87.87%
	"2001"	"2001"	"Rhode Island"	"44"	60	0.02%	5.68	1057142	44	60	73.33%	34	100.00%	100.00%
	"2001"	"2001"	"South Carolina"	"45"	263	0.08%	6.47	4064995	190	221	85.97%	194	95.88%	95.88%
	"2001"	"2001"	"South Dakota"	"46"	13	0.00%	1.72	757972	8	12	66.67%	12	100.00%	100.00%
	"2001"	"2001"	"Tennessee"	"47"	313	0.09%	5.44	5750789	221	258	85.66%	251	94.42%	94.42%
	"2001"	"2001"	"Texas"	"48"	1631	0.49%	7.65	21319622	1111	1388	80.04%	1325	94.11%	94.26%
	"2001"	"2001"	"Utah"	"49"	35	0.01%	1.53	2283715	25	30	83.33%	27	100.00%	100.00%
	"2001"	"2001"	"Vermont"	"50"	7	0.00%	1.14	612223	6	6	100.00%	7	100.00%	100.00%
	"2001"	"2001"	"Virginia"	"51"	306	0.09%	4.25	7198362	214	261	81.99%	263	72.62%	72.62%
	"2001"	"2001"	"Washington"	"53"	261	0.08%	4.36	5985722	197	230	85.65%	227	98.24%	98.24%
	"2001"	"2001"	"West Virginia"	"54"	32	0.01%	1.78	1801481	16	25	64.00%	31	100.00%	100.00%
	"2001"	"2001"	"Wisconsin"	"55"	86	0.03%	1.59	5406835	60	72	83.33%	71	100.00%	100.00%
	"2001"	"2001"	"Wyoming"	"56"	3	0.00%	0.61	494657	2	2	100.00%	3	100.00%	100.00%
"Total"	"2001"	"2001"			15945	4.80%	5.60	284968955	11149	13514	82.50%	12750	96.33%	96.39%
	"2000"	"2000"	"Alabama"	"01"	310	0.09%	6.96	4452173	223	251	88.84%	271	95.94%	95.94%
	"2000"	"2000"	"Alaska"	"02"	108	0.03%	17.20	627963	92	103	89.32%	82	100.00%	100.00%
	"2000"	"2000"	"Arizona"	"04"	261	0.08%	5.06	5160586	174	225	77.33%	228	96.93%	96.93%
	"2000"	"2000"	"Arkansas"	"05"	199	0.06%	7.43	2678588	145	174	83.33%	123	91.87%	91.87%
	"2000"	"2000"	"California"	"06"	3288	0.99%	9.67	33987977	2303	2844	80.98%	2557	98.47%	98.51%
	"2000"	"2000"	"Colorado"	"08"	97	0.03%	2.24	4326921	74	78	94.87%	81	100.00%	100.00%
	"2000"	"2000"	"Connecticut"	"09"	105	0.03%	3.08	3411777	61	85	71.76%	90	96.67%	96.67%
	"2000"	"2000"	"Delaware"	"10"	28	0.01%	3.56	786373	17	21	80.95%	21	90.48%	90.48%
	"2000"	"2000"	"District of Columbia"	"11"	85	0.03%	14.86	572046	55	69	79.71%	74	98.65%	98.65%
	"2000"	"2000"	"Florida"	"12"	1164	0.35%	7.25	16047515	807	985	81.93%	953	95.70%	95.70%
	"2000"	"2000"	"Georgia"	"13"	695	0.21%	8.45	8227303	478	583	81.99%	557	95.15%	95.15%
